id,genders,ages,nationalities,number_of_stops,time_of_day,market_0,market_1,market_2,market_3,market_4,market_5,market_6,market_7,market_8,market_9,market_10,market_11,market_12,market_13,market_14,time_market_0,time_market_1,time_market_2,time_market_3,time_market_4,time_market_5,time_market_6,time_market_7,time_market_8,time_market_9,time_market_10,time_market_11,time_market_12,time_market_13,time_market_14,rate_market_0,rate_market_1,rate_market_2,rate_market_3,rate_market_4,rate_market_5,rate_market_6,rate_market_7,rate_market_8,rate_market_9,rate_market_10,rate_market_11,rate_market_12,rate_market_13,rate_market_14
0,female,21-35,Egypt,9,11AM-1PM,4,5,121,126,139,245,253,363,366,*,*,*,*,*,*,2,6,4,3,5,5,3,6,1,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0
1,female,21-35,India,8,12AM-8AM,3,5,121,244,245,247,252,361,*,*,*,*,*,*,*,16,6,21,19,9,19,28,20,0,0,0,0,0,0,0,3,2,4,4,3,4,5,4,0,0,0,0,0,0,0
2,female,21-35,Others,10,4PM-8PM,0,1,4,132,135,140,247,361,363,367,*,*,*,*,*,4,5,2,6,9,4,3,7,6,5,0,0,0,0,0,2,2,1,2,3,2,2,3,2,2,0,0,0,0,0
3,female,21-35,India,7,1PM-4PM,0,1,4,135,136,255,361,*,*,*,*,*,*,*,*,17,18,10,19,18,29,9,0,0,0,0,0,0,0,0,4,4,3,4,4,5,3,0,0,0,0,0,0,0,0
4,female,41-55,Others,8,12AM-8AM,5,6,109,121,133,135,255,258,*,*,*,*,*,*,*,16,19,13,10,8,12,21,20,0,0,0,0,0,0,0,3,4,3,3,3,3,4,4,0,0,0,0,0,0,0
5,female,41-55,Philippines,7,4PM-8PM,5,6,109,113,120,124,372,*,*,*,*,*,*,*,*,16,17,9,19,10,10,11,0,0,0,0,0,0,0,0,3,4,3,4,3,3,3,0,0,0,0,0,0,0,0
6,male,21-35,Others,9,1PM-4PM,136,138,246,252,256,257,361,367,371,*,*,*,*,*,*,26,24,12,6,22,16,8,7,10,0,0,0,0,0,0,5,5,3,2,4,3,3,3,3,0,0,0,0,0,0
7,female,41-55,Philippines,10,8AM-11AM,3,5,109,119,120,136,250,257,362,371,*,*,*,*,*,11,13,7,13,7,5,2,6,11,10,0,0,0,0,0,3,3,3,3,3,2,1,2,3,3,0,0,0,0,0
8,female,36-40,Others,9,11AM-1PM,4,5,109,120,133,245,361,363,374,*,*,*,*,*,*,12,17,9,13,17,13,4,13,10,0,0,0,0,0,0,3,4,3,3,4,3,2,3,3,0,0,0,0,0,0
9,male,21-35,Others,9,1PM-4PM,136,139,245,250,252,256,257,362,367,*,*,*,*,*,*,13,17,3,14,17,9,6,17,6,0,0,0,0,0,0,3,4,2,3,4,3,2,4,2,0,0,0,0,0,0
10,female,21-35,India,11,12AM-8AM,0,3,120,121,136,245,246,255,361,362,366,*,*,*,*,8,12,23,11,15,24,26,13,4,11,11,0,0,0,0,3,3,4,3,3,5,5,3,2,3,3,0,0,0,0
11,female,36-40,India,10,1PM-4PM,0,2,5,109,123,133,136,256,362,363,*,*,*,*,*,5,14,9,9,4,9,14,14,5,11,0,0,0,0,0,2,3,3,3,2,3,3,3,2,3,0,0,0,0,0
12,female,21-35,Philippines,8,4PM-8PM,5,121,135,139,257,260,363,367,*,*,*,*,*,*,*,29,14,8,21,11,13,21,20,0,0,0,0,0,0,0,5,3,3,4,3,3,4,4,0,0,0,0,0,0,0
13,male,21-35,Others,5,4PM-8PM,3,120,257,361,362,*,*,*,*,*,*,*,*,*,*,34,27,31,30,26,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
14,male,36-40,Afghanistan,8,12AM-8AM,2,6,126,135,246,255,258,372,*,*,*,*,*,*,*,22,29,28,28,5,30,22,9,0,0,0,0,0,0,0,4,5,5,5,2,5,4,3,0,0,0,0,0,0,0
15,female,21-35,Philippines,10,4PM-8PM,120,135,136,139,243,252,255,362,366,367,*,*,*,*,*,11,5,3,11,14,10,10,7,12,4,0,0,0,0,0,3,2,2,3,3,3,3,3,3,2,0,0,0,0,0
16,male,21-35,Philippines,7,4PM-8PM,5,126,245,246,253,366,367,*,*,*,*,*,*,*,*,13,7,12,22,20,18,19,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0
17,male,21-35,Philippines,9,1PM-4PM,0,121,133,245,250,252,256,362,364,*,*,*,*,*,*,11,11,7,6,19,21,22,17,9,0,0,0,0,0,0,3,3,3,2,4,4,4,4,3,0,0,0,0,0,0
18,female,41-55,India,9,11AM-1PM,1,3,5,109,114,120,121,258,362,*,*,*,*,*,*,14,25,8,6,8,21,11,25,15,0,0,0,0,0,0,3,5,3,2,3,4,3,5,3,0,0,0,0,0,0
19,female,41-55,Philippines,10,8AM-11AM,5,114,120,124,126,136,245,246,251,259,*,*,*,*,*,9,15,10,25,21,13,7,11,15,14,0,0,0,0,0,3,3,3,5,4,3,3,3,3,3,0,0,0,0,0
20,male,21-35,India,7,11AM-1PM,0,126,133,139,361,366,367,*,*,*,*,*,*,*,*,16,30,23,21,10,16,22,0,0,0,0,0,0,0,0,3,5,4,4,3,3,4,0,0,0,0,0,0,0,0
21,male,21-35,India,8,4PM-8PM,0,126,133,246,247,255,367,368,*,*,*,*,*,*,*,26,24,11,21,9,34,20,19,0,0,0,0,0,0,0,5,5,3,4,3,5,4,4,0,0,0,0,0,0,0
22,male,41-55,Philippines,7,12AM-8AM,6,7,109,123,255,257,258,*,*,*,*,*,*,*,*,23,19,17,9,5,19,17,0,0,0,0,0,0,0,0,4,4,4,3,2,4,4,0,0,0,0,0,0,0,0
23,female,21-35,India,10,1PM-4PM,1,3,4,124,126,139,245,255,256,367,*,*,*,*,*,20,18,19,5,20,8,20,17,16,8,0,0,0,0,0,4,4,4,2,4,3,4,4,3,3,0,0,0,0,0
24,female,21-35,India,9,8PM-12PM,0,3,121,124,127,245,255,361,366,*,*,*,*,*,*,26,16,18,9,18,20,15,20,5,0,0,0,0,0,0,5,3,4,3,4,4,3,4,2,0,0,0,0,0,0
25,male,36-40,India,8,11AM-1PM,0,4,120,126,127,252,369,374,*,*,*,*,*,*,*,10,16,17,23,15,11,33,38,0,0,0,0,0,0,0,3,3,4,4,3,3,5,5,0,0,0,0,0,0,0
26,male,21-35,Philippines,8,4PM-8PM,4,5,139,245,246,256,366,367,*,*,*,*,*,*,*,11,9,18,12,15,12,9,17,0,0,0,0,0,0,0,3,3,4,3,3,3,3,4,0,0,0,0,0,0,0
27,male,21-35,Pakistan,9,1PM-4PM,120,133,245,250,252,255,257,361,367,*,*,*,*,*,*,25,11,25,6,13,12,9,26,22,0,0,0,0,0,0,5,3,5,2,3,3,3,5,4,0,0,0,0,0,0
28,male,41-55,India,8,4PM-8PM,4,5,120,121,256,257,258,367,*,*,*,*,*,*,*,5,21,20,19,22,5,6,19,0,0,0,0,0,0,0,2,4,4,4,4,2,2,4,0,0,0,0,0,0,0
29,male,21-35,Pakistan,9,4PM-8PM,0,1,4,127,130,361,365,367,368,*,*,*,*,*,*,12,13,17,13,15,12,12,7,5,0,0,0,0,0,0,3,3,4,3,3,3,3,3,2,0,0,0,0,0,0
30,female,41-55,India,10,12AM-8AM,5,110,114,120,121,124,252,255,256,372,*,*,*,*,*,6,8,7,8,10,15,5,10,14,12,0,0,0,0,0,2,3,3,3,3,3,2,3,3,3,0,0,0,0,0
31,male,21-35,Philippines,6,11AM-1PM,1,6,133,139,250,362,*,*,*,*,*,*,*,*,*,37,26,28,26,16,10,0,0,0,0,0,0,0,0,0,5,5,5,5,3,3,0,0,0,0,0,0,0,0,0
32,female,36-40,Philippines,10,1PM-4PM,5,6,120,121,124,252,255,256,258,366,*,*,*,*,*,11,7,9,3,6,10,11,9,3,8,0,0,0,0,0,3,3,3,2,2,3,3,3,2,3,0,0,0,0,0
33,male,36-40,India,7,8AM-11AM,0,4,120,121,127,136,361,*,*,*,*,*,*,*,*,7,19,5,24,15,24,7,0,0,0,0,0,0,0,0,3,4,2,5,3,5,3,0,0,0,0,0,0,0,0
34,male,41-55,Philippines,8,4PM-8PM,3,6,246,252,256,257,370,372,*,*,*,*,*,*,*,6,15,8,30,30,32,14,14,0,0,0,0,0,0,0,2,3,3,5,5,5,3,3,0,0,0,0,0,0,0
35,male,21-35,Others,8,1PM-4PM,6,123,130,247,248,249,255,256,*,*,*,*,*,*,*,22,8,22,9,30,27,19,23,0,0,0,0,0,0,0,4,3,4,3,5,5,4,4,0,0,0,0,0,0,0
36,female,21-35,Pakistan,9,11AM-1PM,2,4,135,136,139,244,246,248,256,*,*,*,*,*,*,6,4,2,9,2,8,10,4,8,0,0,0,0,0,0,2,2,1,3,1,3,3,2,3,0,0,0,0,0,0
37,male,21-35,Philippines,8,4PM-8PM,0,2,123,125,126,136,245,362,*,*,*,*,*,*,*,5,9,14,15,9,8,9,12,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0
38,male,21-35,Others,7,8AM-11AM,1,4,126,134,139,245,370,*,*,*,*,*,*,*,*,14,19,11,21,31,24,15,0,0,0,0,0,0,0,0,3,4,3,4,5,5,3,0,0,0,0,0,0,0,0
39,male,21-35,Philippines,7,8AM-11AM,4,126,245,246,247,257,367,*,*,*,*,*,*,*,*,26,10,7,9,7,21,8,0,0,0,0,0,0,0,0,5,3,3,3,3,4,3,0,0,0,0,0,0,0,0
40,female,55-99,India,10,4PM-8PM,2,5,6,110,121,124,126,133,260,374,*,*,*,*,*,9,17,13,9,23,12,12,6,24,10,0,0,0,0,0,3,4,3,3,4,3,3,2,5,3,0,0,0,0,0
41,male,21-35,Philippines,7,8AM-11AM,0,1,109,121,255,361,363,*,*,*,*,*,*,*,*,4,18,8,23,6,17,10,0,0,0,0,0,0,0,0,2,4,3,4,2,4,3,0,0,0,0,0,0,0,0
